Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,03,01,00,  574, 2.27,256.69, 93.24,359.40
2019,03,02,00,  564, 0.71,241.45, 84.89,360.00
2019,03,03,00,  509, 0.54,  8.49,135.80,360.00
2019,03,04,00,  532, 0.37,316.27,122.03,360.00
2019,03,05,00,  542, 0.02,319.22,116.21,360.00
2019,03,06,00,  598, 0.52,279.06, 80.89,359.83
2019,03,07,00,  516, 2.86,195.19, 91.60,360.00
2019,03,08,00,  588, 0.71,267.70, 76.55,360.00
2019,03,09,00,  545, 0.82,259.37, 75.00,360.00
2019,03,10,00,  569, 4.27,270.53, 50.26,359.38
2019,03,11,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,03,12,00,  611,17.00,300.65, 76.57,359.42
2019,03,13,00,  556, 3.12,240.85, 78.36,357.50
2019,03,14,00,  342,52.26,154.51, 56.88,325.09
2019,03,15,00,  393, 0.41,348.70,160.64,360.00
2019,03,16,00,  530, 0.24,312.52, 73.02,360.00
2019,03,17,00,  507, 1.47,327.39,105.24,360.00
2019,03,18,00,  602, 0.00,315.71,105.07,360.00
2019,03,19,00,  603, 0.64,299.75,114.97,355.42
2019,03,20,00,  616, 2.35,321.69,114.91,360.00
2019,03,21,00,  416,52.72,223.40, 55.33,359.05
2019,03,22,00,  421,15.00,161.13, 52.93,360.00
2019,03,23,00,  557, 0.71,287.03, 90.43,360.00
2019,03,24,00,  555,15.06,275.15, 35.70,348.14
2019,03,25,00,  265, 3.40,212.86,110.32,360.00
2019,03,26,00,  530,89.91,239.86, 50.42,330.49
2019,03,27,00,  569, 0.41,  7.87,140.45,360.00
2019,03,28,00,  605, 0.24,309.81, 60.54,355.00
2019,03,29,00,  578, 1.75,281.50, 57.95,360.00
2019,03,30,00,  539,16.13,268.42, 33.50,348.16
2019,03,31,00,  560,213.10,279.21, 33.58,356.80
