Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,12,01,00, 1440, 0.12, 22.55,140.39,360.00
2019,12,02,00, 1440, 0.81, 67.23,105.01,359.28
2019,12,03,00, 1440, 1.86,114.63, 61.13,357.55
2019,12,04,00, 1440, 0.20,112.74, 76.23,360.00
2019,12,05,00, 1440, 0.31,133.08, 74.91,360.00
2019,12,06,00, 1440, 3.05,133.77, 77.70,360.00
2019,12,07,00, 1440, 0.36, 62.06,110.44,360.00
2019,12,08,00, 1440, 1.96,108.91, 38.24,359.64
2019,12,09,00, 1440, 3.13,136.63, 80.25,355.00
2019,12,10,00, 1440, 0.36,103.01, 98.54,360.00
2019,12,11,00, 1440, 1.48,118.08, 70.47,355.00
2019,12,12,00, 1439, 2.46,123.14, 38.05,354.08
2019,12,13,00, 1440, 0.86, 72.16,114.37,360.00
2019,12,14,00, 1440, 4.86, 74.31, 85.87,360.00
2019,12,15,00, 1440,28.10,138.02, 78.90,340.00
2019,12,16,00, 1440, 0.28,137.25, 72.62,360.00
2019,12,17,00, 1440,20.35,134.26, 27.75,344.02
2019,12,18,00, 1440,17.25,137.64, 23.06,303.89
2019,12,19,00, 1440, 0.05,108.59, 96.08,360.00
2019,12,20,00, 1440,24.81,128.04, 34.60,276.80
2019,12,21,00,  218, 0.23, 90.47, 94.79,360.00
2019,12,22,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,23,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,24,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,25,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,26,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,27,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,28,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,29,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,30,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,12,31,00,    0,  MD  ,  MD  ,  MD  ,  MD  
