Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,02,01,00, 1440,45.00,167.28, 33.92,293.41
2019,02,02,00, 1440, 4.04,173.88, 61.20,356.43
2019,02,03,00, 1024,27.19,215.86, 63.99,350.00
2019,02,04,00,  695, 0.16, 94.39,104.81,360.00
2019,02,05,00,  820,123.75,179.18, 58.92,360.00
2019,02,06,00,  607,13.70,186.61, 95.24,352.90
2019,02,07,00,  386,211.00,264.79, 34.32,349.14
2019,02,08,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,02,09,00,  544, 0.41, 20.86,128.73,359.95
2019,02,10,00,  290, 1.29,167.49, 90.37,360.00
2019,02,11,00,  358, 0.24,  8.77,151.12,360.00
2019,02,12,00,  504, 0.32,  1.73,154.63,360.00
2019,02,13,00,  382, 3.04, 15.63, 91.34,360.00
2019,02,14,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,02,15,00,  461,38.37,146.71, 25.59,216.76
2019,02,16,00,  524,43.74,175.68, 38.19,293.01
2019,02,17,00,  689,36.28,239.61, 86.00,357.27
2019,02,18,00,  615, 1.70,279.84, 81.31,350.27
2019,02,19,00,   75,211.69,251.45, 35.72,348.90
2019,02,20,00,  648, 0.57,357.21,122.03,360.00
2019,02,21,00,  521,18.51,261.33, 80.45,356.39
2019,02,22,00,  533, 2.89,290.39, 43.21,353.58
2019,02,23,00,  340,65.35,146.46, 36.81,317.35
2019,02,24,00,  547, 0.00, 13.95,139.59,360.00
2019,02,25,00,  571, 0.00,  8.51,149.18,360.00
2019,02,26,00,  510, 0.03,  9.22,138.81,359.88
2019,02,27,00,  336,10.31,173.00, 57.38,356.67
2019,02,28,00,  597, 2.15,279.89, 87.12,360.00
