Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.970000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.11
48.900000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,7.14
48.820000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.12
48.890000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.11
48.890000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,5.19
48.940000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.31
48.930000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.89
48.910000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,9.60
48.850000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.93
48.920000,-125.020000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.88
48.900000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,0.68
48.860000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.31
48.840000,-125.260000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.50
48.940000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,2.25
48.950000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,4.31
48.870000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.01
48.890000,-125.410000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.21
48.920000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,8.60
48.930000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,9.96
48.840000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.03
48.940000,-124.990000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.71
48.920000,-125.490000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",4,10.99
48.960000,-125.060000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,2.07
48.880000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,18.09
48.910000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.12
48.850000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.88
48.910000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.93
48.920000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.07
48.980000,-125.370000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.39
48.960000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,1.00
48.880000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",2,3.32
48.900000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.51
48.920000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.70
48.870000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.46
48.910000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,3.11
49.000000,-125.300000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,18.26
48.940000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.04
48.950000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.09
48.990000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.27
48.940000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.27
48.960000,-125.070000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,21.92
48.950000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.01
48.930000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",3,4.00
48.960000,-125.090000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.58
48.950000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.97
48.900000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.82
48.910000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.01
48.830000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,1.16
48.920000,-125.030000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",1,0.42
