Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.890000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.66
48.950000,-125.430000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.00
48.900000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.87
48.970000,-125.080000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.61
48.870000,-125.280000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.87
48.910000,-125.110000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.93
48.910000,-125.130000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.13
48.870000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,4.68
48.960000,-125.050000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.22
48.810000,-125.230000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.01
48.900000,-125.420000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.20
48.970000,-125.350000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.50
48.910000,-125.260000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.74
48.940000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.30
48.960000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.03
48.850000,-125.370000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.83
48.930000,-125.440000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.26
48.940000,-125.000000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,6.04
48.920000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.65
48.970000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.98
48.910000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.09
48.950000,-125.030000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.77
48.920000,-125.490000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,4.07
48.880000,-125.420000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.66
48.940000,-125.090000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,1.82
48.860000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,5.30
48.960000,-125.010000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.04
48.960000,-125.020000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.80
48.850000,-125.130000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,11.77
48.850000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.63
48.920000,-125.470000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.24
48.980000,-125.150000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.28
48.860000,-125.130000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.99
48.940000,-125.040000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.87
48.850000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,4.34
48.870000,-125.410000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.00
48.900000,-125.300000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.00
48.870000,-125.300000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,11.54
48.950000,-124.990000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.91
48.970000,-125.360000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.97
48.860000,-125.380000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.62
48.980000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.20
48.910000,-125.480000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,2.95
48.880000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,47.04
48.850000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,39.19
48.940000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.01
48.950000,-125.250000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.84
48.940000,-125.030000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,22.95
48.940000,-125.190000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.85
48.930000,-125.250000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,12.40
48.980000,-125.190000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.86
48.850000,-125.140000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.73
48.900000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.52
48.840000,-125.140000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,14.78
48.820000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.11
48.820000,-125.140000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.55
48.900000,-125.130000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.88
48.960000,-125.320000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.00
48.880000,-125.300000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,4.51
48.880000,-125.120000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.48
48.910000,-125.240000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",4,14.98
48.930000,-125.110000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,22.98
