Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.880000,-125.120000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,2.03
48.870000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.03
49.010000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.91
48.900000,-125.300000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.59
48.860000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.98
48.890000,-125.510000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.84
48.890000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.90
48.800000,-125.320000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.27
48.890000,-125.080000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.17
48.820000,-125.170000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.06
48.840000,-125.180000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,5.20
48.810000,-125.200000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,7.04
48.920000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.01
48.970000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.03
48.970000,-125.340000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.84
48.820000,-125.200000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,2.74
48.800000,-125.270000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,23.84
48.800000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.02
48.870000,-125.140000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,19.61
48.800000,-125.350000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.94
48.960000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.68
48.980000,-125.320000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.01
48.810000,-125.230000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.61
48.990000,-125.370000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.18
48.930000,-125.140000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.19
48.920000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.05
48.830000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.97
48.880000,-125.450000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.13
48.910000,-125.060000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.54
48.970000,-125.350000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.04
48.950000,-125.280000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.01
48.870000,-125.280000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.67
48.960000,-125.020000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,4.43
48.830000,-125.190000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,2.69
48.830000,-125.180000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,2.93
48.810000,-125.240000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,7.11
48.880000,-125.170000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.35
48.870000,-125.250000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.99
48.930000,-125.210000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.03
48.910000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.10
48.890000,-125.450000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.11
48.800000,-125.200000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.01
48.800000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.88
48.790000,-125.270000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,9.11
48.890000,-125.090000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,2.01
48.890000,-125.420000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.85
48.850000,-125.390000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.76
48.890000,-125.430000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.62
48.910000,-125.470000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.60
48.920000,-125.320000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,26.56
48.810000,-125.320000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.03
48.930000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.00
48.950000,-125.040000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.58
48.880000,-125.180000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.84
48.890000,-125.100000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,3.01
48.870000,-125.300000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,10.72
48.900000,-125.240000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.14
48.960000,-125.080000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.46
48.950000,-125.030000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.30
48.920000,-125.500000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,4.12
48.910000,-125.510000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,1.29
48.840000,-125.230000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,4.75
48.860000,-125.210000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.40
48.960000,-125.390000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.89
48.890000,-125.270000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.74
48.960000,-125.280000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.15
48.820000,-125.180000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,3.87
48.950000,-125.420000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.63
48.810000,-125.180000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.00
