Transect,Photo#,photo score,transect score,#urchins,#snails,primary_sub,secondary_sub,,"Notes (% cover for each, other important things to know etc.)",,Total snails,Real total snails,,Total snails,real total snails
BMSC27_VDG8.5m3052024SanJoseNorthIsland,12,4,"4, 3",2,0,7,2,,"90% solid rock with a patch of 10% sand, one urchin is black --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,13,4,"4, 3",0,0,7,2,,95% solid rock with a little sand covering parts -- good vis,,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,14,2,"4, 3",0,0,2,2,,100% sand --- good vis,,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,15,,"4, 3",n/a,,n/a,n/a,,"not a proper transect photo, side view of swimming nudibranch",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,16,3,"4, 3",1,0,6,2,,"55% boulders and 25% sand, also some solid rock --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,17,4,"4, 3",2,0,7,7,,"100% solid rock slab, 1 more urchin with only spines visible, one urchin black, --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,18,4,"4, 3",2,0,7,7,,"100% solid rock slab, the urchins are dark but have red --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,19,4,"4, 3",0,0,6,2,,"70% boulders, 15% sand, 2 urchins only visible by spines, lots of cucumaria blocking substrate --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,20,4,"4, 3",2,0,7,2,,"99% solid rock with a very tiny patch with some sand on top --- low vis, camera shaky",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,21,3,"4, 3",0,0,5,2,,80% cobble with 15% sand with some shells in it --- good vis,,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,22,3,"4, 3",2,0,2,5,,"40% sand spread throughout with 33% cobble and slighlty smaller patch of solid rock, at least five small fish (maybe black eye), 1 urchin visible just by spines, one urchin black --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,23,4,"4, 3",1,1,7,5,,"70% solid rock 20% cobble and 10% sand, 1 more urchin visible just with spines, --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,24,4,"4, 3",1,0,7,2,,"55% solid rock with 30% sand, also a few cobbles --- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,25,4,"4, 3",1,0,7,2,,"95% solid rock with small patches of sand throughout, ---- good vis",,,,,,
BMSC27_VDG8.5m3052024SanJoseNorthIsland,26,4,"4, 3",0,0,7,2,,99% solid rock with very small patches of sand ----good vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,3,4,"4, 3",2,1,7,3,,60% solid rock with 30% shell hash throughout and a small patch of sand --- good vis,,15,3,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,4,3,"4, 3",1,4,6,3,,50% boulders with 40% shell hash --- good vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,5,3,"4, 3",1,0,6,3,,55% boulders and 30% fine shell hash --- good vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,6,3,"4, 3",1,4,6,3,,"60% boulders with 40% shell hash spread throughout, urchin with black spines,  ---- good vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,7,4,"4, 3",1,0,7,3,,"80% solid rock with 15 % shell hash, one more urchin visible with just spines, lots of cucumaria --- ok to good vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,8,3,"4, 3",1,1,3,6,,"40% shell hash with 39% boulders, multiple large metridium---- good vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,9,3,"4, 3",4,0,6,3,,55% boulders with 40% shell hash --- low to ok vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,10,4,"4, 3",1,0,6,3,,"70% boulders and 20% shell hash, large metridium and some cucumaria present --- ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,11,4,"4, 3",1,1,7,2,,"95% solid rock with a small pocket of sandy sediment, the urchin is hidden in the bottom left --- ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,12,4,"4, 3",3,0,7,6,,"70% solid rock and 20% boulders and 10% shell hash, one of the urchins is black --- ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,13,4,"4, 3",1,1,6,3,,95% boulders with some pockets of shell hash --- ok vis in foreground and low vis in background,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,14,3,"4, 3",1,0,3,6,,"85% shell hash with the rest being boulders poking through, urchin is black --- ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,15,3,"4, 3",2,0,3,6,,51% shell hash and 49% boulders --- ok vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,16,4,"4, 3",0,0,7,3,,40% solid rock with 20% shell hash and some large cobbles --- good vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,17,3,"4, 3",2,1,7,3,,51% solid rock and 49% shell hash --- ok vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,18,3,"4, 3",4,0,3,5,,"40% shell hash with 20% large cobbles and a couple of boulders, two of the urchins are black --- ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,19,4,"4, 3",2,1,7,7,,100% solid rock -- ok vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,20,4,"4, 3",0,1,7,2,,98% solid rock with one tiny patch of sand in the background --- good vis,,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,21,4,"4, 3",5,0,7,5,,"55% solid rock with 10% small cobbles and then a mix of sand and shell hash, two of the urchins are purple ---- ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,22,4,"4, 3",7,0,7,7,,"Almost 100% solid rock except for a couple of large anthopleura , one of the urchins is black --- low to ok vis",,,,,,
BMSC6_EGL11m22042024BaeriaRocksSouth,23,4,"4, 3",1,0,7,3,,92% solid rock and 8% shell hash --- ok vis,,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,2,2,"4, 2",0,0,2,7,,55% sand with 45% solid rock --- ok vis,lots of small sculpins and blackeye gobies in many of the photos in this transect,7,33,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,3,4,"4, 2",2,0,7,2,,"90% solid rock and 10% sand, urchins are black  --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,4,4,"4, 2",2,0,7,2,,"95% solid rock and 5 % sand, urchins are black --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,5,4,"4, 2",5,0,7,2,,"85% solid rock and 15% sand in small patches,  2 of the urchins are black --- low to ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,6,4,"4, 2",3,0,7,2,,"90% solid rock with 10% sand, 3 hermissenda, 2 of the urchins are black --- low to ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,7,2,"4, 2",0,0,2,7,,75% sand  and 25% solid rock --- low vis,,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,8,2,"4, 2",1,0,2,4,,"95% sand with some pebbles spread throughout, ----- low vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,9,2,"4, 2",1,1,2,3,,99% sand with a few pieces of shells --- low vis,,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,10,2,"4, 2",0,0,2,3,,99% sand with a few pieces of shells and one cobble ---- very low vis,,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,11,2,"4, 2",3,0,2,7,,"60% sand and 40% solid rock, urchins on the solid rock and are black ---- low vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,12,2,"4, 2",1,1,7,2,,"99% solid rock with one part with a slight dusting of sand, one urhcin visible only by spines, --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,13,4,"4, 2",2,0,7,2,,"80% solid rock with 20% sand interspersed throughout, 2 urchins visible only by spines, one urchin black ---- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,14,3,"4, 2",2,0,2,6,,"50% sand with 40% boulder and some solid rock, one urchin black --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,15,4,"4, 2",0,0,7,2,,"90% solid rock with 10% sand interspersed throughout, --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,16,4,"4, 2",1,1,7,2,,"90% solid rock with 10% sand interspersed throughout,  one urchin visible only by spine, urchin black--- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,17,4,"4, 2",5,0,7,2,,"60% solid rock and 35% sand with some shell hash within, one urchin visible by only spines(bottom of photo), --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,18,2,"4, 2",2,1,2,6,,65% sand with boulders interspersed throughout --- low to ok vis,,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,19,4,"4, 2",3,0,7,2,,"90% solid rock with 8% sand and some shells mixed in, one urchin visible only by spines --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,20,4,"4, 2",2,0,7,7,,"100% solid rock, --- low to ok vis",check on the gastropod in the bottom right corner,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,21,4,"4, 2",3,1,7,2,,"60% solid rock and 40% sand with a few shells mixed in, 2 urchins only visible by their spines, --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,22,2,"4, 2",5,0,2,5,,"70% sand with 20% cobble and some solid rock mixed in, one urchin visible only by spines --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,23,4,"4, 2",4,1,7,2,,"95% solid rock with some sand in patches throughout, one urchin visible only by spines --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,24,2,"4, 2",4,0,7,2,,"60% solid rock and 40% sand, urchins are black, ---- low to ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,25,4,"4, 2",4,0,7,2,,"97% solid rock with one small patch of sand, one urchin black, one urchin visible only by spines --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,26,4,"4, 2",5,0,6,2,,"85% boulders and 15% sand, 3 black urchins, ---- low vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,27,4,"4, 2",5,1,7,2,,"90% solid rock and 8% sand and some shell hash, one black urchin --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,28,4,"4, 2",4,0,7,2,,"96% solid rock and small patches of sand, 2 black urchins, 4 urchins visible only by spines, --- low to ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,29,4,"4, 2",8,0,7,2,,"96% solid rock and small patches of sand, 1 black urchin, --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,30,3,"4, 2",3,0,3,5,,"45% shell hash, 30% cobble, one boulder, one black urchin --- ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,31,2,"4, 2",1,0,3,5,,95% shell hash with one medium sized cobble --- ok vis,,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,32,4,"4, 2",2,0,7,3,,"95% solid rock with two patches of shell hash, one of them is quite fine close to sand --- low to ok vis",,,,,,
BMSC11_CMA7.5m26042024WizardIslandSouth,33,4,"4, 2",2,0,7,7,,"100% solid rock, one black urchin --- ok vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,4,4,"4, 3",5,6,7,7,,"100% solid rock, one urchin visible only by spines, 2 black urchins, --- ok vis",,27,99,,,
