site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,12.5,1,41.9142,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,1,232.1561,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,2,Chordata,Actinopterygii,,,Actinopterygii spp.,Actinopterygii spp.,2.5,80,33.8379,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,2,300.0406,POINT (-125.19999694824219 48.849998474121094)
BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,3,696.4684,POINT (-125.19999694824219 48.849998474121094)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,2,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus vacca,Rhacochilus vacca,12.5,1,69.4696,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,1,67.0579,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,30,1,344.0053,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,15,5,367.4593,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,20,2,325.4514,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,Rhinogobiops nicholsii,10,1,18.6854,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,62.5,1,1202.7167,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2021-05-05,5,RLS,3,12:45:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,20,1,162.7257,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2022-04-27,5,RLS,2,10:40:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,2,300.0406,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2022-04-27,5,RLS,2,10:40:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,1,232.1561,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2022-04-27,5,RLS,2,10:40:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes spp.,Sebastes spp.,2.5,1,0.3834,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2022-04-27,5,RLS,2,10:40:00,,,1,2,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis infundibulum,Bolinopsis infundibulum,0,1,,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2022-04-27,5,RLS,2,10:40:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,1,150.0203,POINT (-125.36000061035156 48.869998931884766)
BMSC17,Wouwer Channel,48.87,-125.36,2022-04-27,5,RLS,2,10:40:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,30,1,344.0053,POINT (-125.36000061035156 48.869998931884766)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,4,928.6245,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,50,1,1252.5757,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,15,1,73.4918,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,20,3,488.1771,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,25,5,1252.0597,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,30,1,369.1905,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,35,2,1032.8683,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,12.5,3,113.9005,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,2,134.1157,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,2,300.0406,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,30,1,344.0053,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,12.5,2,75.9337,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,2,134.1157,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2021-05-06,7,RLS,2,12:20:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,1,150.0203,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,5,1160.7806,POINT (-125.20999908447266 48.84000015258789)
BMSC20,Ed King East,48.84,-125.21,2022-04-29,6.5,RLS,4,11:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,30,4,1376.0212,POINT (-125.20999908447266 48.84000015258789)
