Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2018,04,01,00,  528, 1.04,284.89, 37.17,356.82
2018,04,02,00,  497, 0.97,263.28, 62.96,345.90
2018,04,03,00,  381, 5.00,  8.84,107.63,344.51
2018,04,04,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,04,05,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,04,06,00,  532, 0.17,292.83, 86.29,360.00
2018,04,07,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,04,08,00,  447,15.00,184.74, 66.50,355.00
2018,04,09,00,  491, 0.40,  2.99,130.60,360.00
2018,04,10,00,  438,39.80,164.97, 33.27,237.63
2018,04,11,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,04,12,00,  558, 2.35,232.82, 66.43,360.00
2018,04,13,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,04,14,00,  610,12.97,210.65, 53.55,318.62
2018,04,15,00,  553, 0.06,309.07, 79.56,360.00
2018,04,16,00,   85,157.00,157.11,  0.31,158.00
2018,04,17,00,  556,134.33,239.57, 32.58,333.00
2018,04,18,00,  606, 2.86,292.78, 42.66,356.64
2018,04,19,00,  572,204.25,261.74, 33.16,355.00
2018,04,20,00,  340, 5.00,161.61, 34.65,266.99
2018,04,21,00,  542,161.00,253.21, 31.69,355.00
2018,04,22,00,  550, 2.13,276.63, 35.38,356.93
2018,04,23,00,  583, 0.70,303.59, 89.67,360.00
2018,04,24,00,  582, 0.87,277.81, 57.57,360.00
2018,04,25,00,  585, 1.65,317.01, 57.42,360.00
2018,04,26,00,  547,133.95,265.72, 54.22,352.30
2018,04,27,00,  310,69.00,183.20, 38.21,287.96
2018,04,28,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,04,29,00,  414,101.00,218.65, 31.79,319.59
2018,04,30,00,  538,154.02,254.92, 23.87,349.59
