Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2018,06,01,00,  583,57.09,163.33, 27.56,298.89
2018,06,02,00,  596,120.70,242.47, 46.41,332.76
2018,06,03,00,  652,181.62,253.26, 23.70,348.66
2018,06,04,00,  586,122.18,243.60, 27.74,314.19
2018,06,05,00,  442,77.83,167.08, 26.99,283.39
2018,06,06,00,  559, 4.40,222.10, 45.77,355.00
2018,06,07,00,  255,75.87,159.39, 22.20,216.19
2018,06,08,00,  463,80.94,176.84, 30.47,299.39
2018,06,09,00,  613, 9.00,249.52, 44.54,322.89
2018,06,10,00,  567,86.25,218.46, 39.24,314.81
2018,06,11,00,  570,166.23,253.09, 27.61,348.78
2018,06,12,00,  372, 0.71,274.37, 76.37,355.00
2018,06,13,00,  586,174.88,238.84, 19.87,322.39
2018,06,14,00,  586,142.78,244.05, 30.63,323.86
2018,06,15,00,  584,97.34,244.13, 34.82,345.02
2018,06,16,00,  586, 2.50,280.07, 59.37,357.14
2018,06,17,00,  576,125.93,263.69, 29.15,345.09
2018,06,18,00,  596,72.20,256.97, 48.51,351.77
2018,06,19,00,  523,114.15,248.03, 34.95,310.08
2018,06,20,00,  556,138.65,253.75, 33.48,342.00
2018,06,21,00,  343,130.05,227.62, 20.17,275.00
2018,06,22,00,  652,192.25,242.30, 21.07,343.65
2018,06,23,00,  629, 5.50,268.32, 30.39,353.57
2018,06,24,00,  215,221.00,277.16, 30.94,350.00
2018,06,25,00,  549,93.13,205.25, 29.32,265.63
2018,06,26,00,  585,12.54,244.81, 40.12,350.00
2018,06,27,00,  569, 1.46,231.82, 42.34,359.01
2018,06,28,00,  471,121.57,209.72, 36.29,294.86
2018,06,29,00,  357,74.00,244.95, 47.39,305.30
2018,06,30,00,  332,145.49,231.35, 24.80,329.00
