Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2018,12,01,00, 1407, 5.65, 12.96, 15.78,355.00
2018,12,02,00, 1440, 4.52, 12.78,153.66,360.00
2018,12,03,00, 1440, 0.50, 30.37,113.49,360.00
2018,12,04,00, 1440, 0.14, 35.54,104.42,360.00
2018,12,05,00, 1440,17.77, 81.60, 56.71,212.00
2018,12,06,00, 1440, 3.64,136.41, 65.04,355.00
2018,12,07,00, 1428, 1.67, 27.13,114.53,360.00
2018,12,08,00, 1436, 0.71,  7.70,145.63,360.00
2018,12,09,00, 1440, 3.22,161.16, 58.38,360.00
2018,12,10,00, 1440,33.00,147.24, 36.08,337.86
2018,12,11,00, 1440,29.12,217.07, 58.66,355.75
2018,12,12,00, 1440, 5.00,149.03, 61.81,357.72
2018,12,13,00, 1440,65.09,217.66, 71.83,325.00
2018,12,14,00, 1440, 5.00,183.82, 66.17,359.79
2018,12,15,00, 1440, 2.49,146.99, 67.11,360.00
2018,12,16,00, 1440, 3.39,161.05, 32.02,286.35
2018,12,17,00, 1437, 7.83,160.65, 27.93,275.74
2018,12,18,00, 1440,26.52,182.61, 38.56,343.71
2018,12,19,00, 1425, 4.30,175.24, 54.11,360.00
2018,12,20,00, 1438, 0.24,208.99, 64.78,355.46
2018,12,21,00, 1440,42.00,137.76, 67.38,352.75
2018,12,22,00, 1440, 0.37,160.86, 82.54,360.00
2018,12,23,00, 1440,54.73,165.50, 36.23,330.90
2018,12,24,00, 1269, 1.28, 61.68, 78.83,360.00
2018,12,25,00, 1035, 1.38, 82.55, 72.96,360.00
2018,12,26,00, 1440, 1.14, 62.59, 69.83,351.89
2018,12,27,00, 1440, 1.59, 23.28, 49.23,355.00
2018,12,28,00, 1440, 0.95, 30.90,106.03,360.00
2018,12,29,00, 1440, 0.48,244.90, 55.07,356.51
2018,12,30,00, 1440, 0.09, 51.84, 89.80,360.00
2018,12,31,00, 1440,138.00,184.66, 43.66,236.00
