Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2018,09,01,00,  590,120.36,225.71, 27.34,308.17
2018,09,02,00,  448,101.00,257.09, 35.43,354.17
2018,09,03,00,  610,169.74,264.30, 24.82,317.38
2018,09,04,00,  589,147.10,245.48, 34.43,323.00
2018,09,05,00,  578,157.73,255.76, 45.03,357.95
2018,09,06,00,  529,132.21,245.06, 30.36,349.33
2018,09,07,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,09,08,00,  302,95.98,168.04, 37.22,327.98
2018,09,09,00,  264,33.06,163.59, 25.56,250.57
2018,09,10,00,  570,78.31,178.52, 32.79,294.99
2018,09,11,00,  361, 5.39,291.78, 76.24,360.00
2018,09,12,00,  501,23.05,277.48, 85.20,349.30
2018,09,13,00,  428,119.00,222.34, 31.39,301.13
2018,09,14,00,  369,74.00,159.97, 29.82,241.70
2018,09,15,00,  414,18.99,175.82, 36.07,270.94
2018,09,16,00,  551,67.00,224.59, 39.17,290.65
2018,09,17,00,  568, 7.43,261.76, 75.08,355.03
2018,09,18,00,  548,39.91,269.70, 46.79,357.51
2018,09,19,00,  274,256.26,310.89, 18.74,332.00
2018,09,20,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,09,21,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2018,09,22,00,  460,50.87,221.41, 24.58,325.70
2018,09,23,00,  459,209.02,266.07, 32.39,359.77
2018,09,24,00,  556,185.84,259.29, 29.94,358.66
2018,09,25,00,  556, 5.00,262.84, 62.30,354.14
2018,09,26,00,  535,31.00,271.83, 67.85,332.08
2018,09,27,00,  494,34.46,271.05, 23.30,340.71
2018,09,28,00,  555,169.00,253.49, 35.73,345.58
2018,09,29,00,  425,19.21,173.56,104.46,355.00
2018,09,30,00,    0,  MD  ,  MD  ,  MD  ,  MD  
