Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2016,11,01,00,  318,81.42,163.03, 26.34,220.30
2016,11,02,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,03,00,   50,112.20,158.42, 18.93,200.16
2016,11,04,00,   39,40.26,159.64, 88.94,348.00
2016,11,05,00,  229,100.91,165.55, 30.10,223.43
2016,11,06,00,  469,75.10,145.11, 36.03,238.15
2016,11,07,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,08,00,  327,20.36,164.52, 19.29,204.96
2016,11,09,00,  250,267.00,269.12,  2.37,274.00
2016,11,10,00,  271, 5.00,202.75, 84.71,325.00
2016,11,11,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,12,00,   96,207.46,239.42, 17.13,297.92
2016,11,13,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,14,00,  445,24.00, 67.43, 43.80,118.00
2016,11,15,00,  234,41.00,115.83, 46.39,196.00
2016,11,16,00,  111, 0.82, 33.08, 77.09,356.45
2016,11,17,00,  385, 2.58,155.90, 87.43,355.00
2016,11,18,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,19,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,20,00,   90,82.00,160.25, 37.14,235.24
2016,11,21,00,  389,77.10,166.34, 42.09,242.76
2016,11,22,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,23,00,   97,55.00,130.94, 30.70,177.00
2016,11,24,00,  145,16.00, 23.28,  2.20, 26.00
2016,11,25,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,26,00,   92,24.00, 24.00,  0.00, 24.00
2016,11,27,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,28,00,  369, 0.45, 38.01,135.04,360.00
2016,11,29,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2016,11,30,00,  355, 0.09,318.52, 85.86,357.28
