Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2016,06,01,00, 1440,36.68,181.88, 41.63,332.70
2016,06,02,00, 1440, 2.58,186.29, 48.22,319.00
2016,06,03,00, 1440, 0.07, 12.10,125.55,360.00
2016,06,04,00, 1440, 3.75,268.19, 74.12,360.00
2016,06,05,00, 1408, 2.05,162.57, 77.18,348.58
2016,06,06,00, 1440,87.15,180.29, 43.19,312.75
2016,06,07,00, 1440, 3.10,218.99, 66.70,356.43
2016,06,08,00, 1437,19.74,234.33, 31.09,352.38
2016,06,09,00, 1440,55.00,197.10, 47.27,348.00
2016,06,10,00, 1440,86.95,176.33, 80.64,350.00
2016,06,11,00, 1440, 0.39,252.90, 39.03,359.73
2016,06,12,00, 1440,121.71,231.41, 44.55,355.49
2016,06,13,00, 1440,31.55,250.24, 40.78,356.41
2016,06,14,00, 1440,17.45,170.68, 60.95,330.71
2016,06,15,00, 1440, 7.14,172.48, 82.07,348.21
2016,06,16,00, 1416,18.05,196.87, 59.64,355.00
2016,06,17,00, 1346,18.03,188.94, 68.21,360.00
2016,06,18,00, 1440,23.27,173.35, 54.22,355.00
2016,06,19,00, 1440, 0.18,260.20, 82.45,359.14
2016,06,20,00, 1306, 2.28,266.96, 79.21,360.00
2016,06,21,00, 1440,92.64,217.30, 37.79,326.68
2016,06,22,00, 1440, 4.61,212.29, 85.08,360.00
2016,06,23,00, 1440,64.50,199.90, 55.01,323.54
2016,06,24,00, 1440,117.00,229.65, 29.53,298.47
2016,06,25,00, 1440,21.21,209.35, 47.66,358.14
2016,06,26,00, 1440, 1.19,218.28, 51.61,360.00
2016,06,27,00, 1440,28.98,208.68, 49.04,355.00
2016,06,28,00, 1440, 0.72,210.14, 55.14,355.45
2016,06,29,00, 1440, 7.59,202.77, 49.20,353.77
2016,06,30,00, 1440, 1.59,220.96, 40.96,357.32
