Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2013,07,01,00, 1440,95.57,205.86, 34.86,312.57
2013,07,02,00, 1440, 5.26,214.89, 42.81,307.22
2013,07,03,00, 1440,29.25,201.47, 67.99,352.06
2013,07,04,00, 1440, 2.84,199.47, 54.93,355.74
2013,07,05,00, 1440, 6.16,189.27, 69.33,357.67
2013,07,06,00, 1440,105.00,207.23, 68.06,336.00
2013,07,07,00, 1440, 2.99,212.76, 81.02,358.76
2013,07,08,00, 1440, 1.58,226.50, 74.51,360.00
2013,07,09,00, 1440,112.87,220.47, 37.16,337.32
2013,07,10,00, 1440,19.47,218.14, 46.07,350.54
2013,07,11,00, 1440, 3.03,239.41, 48.69,356.28
2013,07,12,00, 1440, 2.50,175.47, 82.82,360.00
2013,07,13,00, 1440, 5.00,192.68, 68.08,356.76
2013,07,14,00, 1440,107.61,205.13, 44.44,301.34
2013,07,15,00, 1440, 2.82,219.32, 73.13,360.00
2013,07,16,00, 1440, 1.67,256.11, 98.22,360.00
2013,07,17,00, 1440, 1.14,189.66, 55.14,359.54
2013,07,18,00, 1440,117.00,237.29, 41.75,326.52
2013,07,19,00, 1440, 2.99,194.38, 54.95,345.85
2013,07,20,00, 1440,73.26,180.65, 39.84,267.22
2013,07,21,00, 1440, 0.14,171.30, 86.12,360.00
2013,07,22,00, 1440, 6.38,214.30, 60.55,359.65
2013,07,23,00, 1440,74.00,186.69, 56.21,354.26
2013,07,24,00, 1440,76.00,191.84, 50.49,307.49
2013,07,25,00, 1440,63.00,198.62, 58.61,344.51
2013,07,26,00, 1440,27.50,169.94, 63.09,353.08
2013,07,27,00, 1440, 2.33,162.41, 85.34,356.34
2013,07,28,00, 1440, 1.42,196.50, 68.91,355.31
2013,07,29,00, 1440, 6.68,252.01, 87.87,355.45
2013,07,30,00, 1440,12.51,203.48, 58.13,359.44
2013,07,31,00, 1440,13.48,236.03, 44.25,359.22
