Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2017,12,01,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,02,00,  340, 5.00,  9.91,  3.51, 20.00
2017,12,03,00,  378,10.00,  1.32,169.86,355.00
2017,12,04,00,   57,80.00, 80.00,  0.00, 80.00
2017,12,05,00,  370, 1.01, 16.34,144.53,360.00
2017,12,06,00,  332, 0.59,207.41,107.92,360.00
2017,12,07,00,  370,89.00,111.93, 16.37,125.00
2017,12,08,00,  356,117.00,120.79,  6.88,135.00
2017,12,09,00,  357,146.00,185.84, 40.47,297.00
2017,12,10,00,  166,205.00,236.02, 13.77,249.00
2017,12,11,00,  346,13.20,160.84, 84.12,331.36
2017,12,12,00,  341, 9.53,284.71, 62.55,290.00
2017,12,13,00,  351,11.00,250.75, 99.59,325.44
2017,12,14,00,  366,119.00,119.00,  0.00,119.00
2017,12,15,00,  370, 5.00,279.80, 56.79,359.75
2017,12,16,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,17,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,18,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,19,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,20,00,  369,10.90,147.88, 64.92,332.51
2017,12,21,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,22,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,23,00,  356, 0.25,  7.76,157.52,359.74
2017,12,24,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,25,00,   59,24.00, 24.00,  0.00, 24.00
2017,12,26,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,27,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,28,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,29,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2017,12,30,00,  368,74.00,182.54, 39.74,278.58
2017,12,31,00,  325, 0.10, 15.45,144.99,360.00
