Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,06,01,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,06,02,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,06,03,00,  878, 9.19,214.12, 33.48,358.87
2019,06,04,00, 1440,66.43,194.67, 63.02,358.80
2019,06,05,00, 1440, 1.11,160.82, 61.84,340.11
2019,06,06,00, 1440, 2.38,143.00, 72.61,358.08
2019,06,07,00, 1440, 1.59,196.73, 61.23,360.00
2019,06,08,00, 1440,57.00,174.87, 56.87,336.49
2019,06,09,00, 1440,79.43,168.01, 74.10,356.42
2019,06,10,00, 1440, 4.77,207.42, 71.29,349.82
2019,06,11,00, 1440, 3.89,218.52, 86.18,359.13
2019,06,12,00, 1440, 2.86,147.89, 86.63,360.00
2019,06,13,00, 1440,55.00,174.47, 43.87,350.46
2019,06,14,00, 1438, 0.09,187.30, 56.87,358.86
2019,06,15,00, 1440,19.49,202.52, 48.30,341.63
2019,06,16,00, 1440,43.02,194.93, 53.63,358.74
2019,06,17,00, 1440,16.61,194.87, 47.89,336.24
2019,06,18,00, 1440,13.21,208.96, 49.96,352.35
2019,06,19,00, 1440, 5.43,220.56, 70.04,355.51
2019,06,20,00, 1440, 3.25,179.02, 71.21,359.82
2019,06,21,00, 1440, 1.39,163.40, 79.59,360.00
2019,06,22,00, 1440,38.35,184.46, 53.25,344.24
2019,06,23,00, 1440,24.82,199.44, 48.15,335.14
2019,06,24,00, 1440, 1.45,214.18, 51.11,321.85
2019,06,25,00, 1440, 6.25,190.84, 70.08,346.31
2019,06,26,00, 1440, 3.55,175.44, 79.10,357.57
2019,06,27,00, 1438, 1.90,155.47, 47.41,337.74
2019,06,28,00, 1440,43.00,168.19, 59.99,349.04
2019,06,29,00, 1440, 4.26,205.33, 72.82,356.37
2019,06,30,00, 1440,66.73,172.44, 77.02,355.55
