Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2012,02,01,00, 1440, 0.17,173.79, 48.41,359.38
2012,02,02,00, 1440, 1.59,125.52, 89.96,360.00
2012,02,03,00, 1440, 3.35,167.63, 76.11,360.00
2012,02,04,00, 1440, 1.47,126.89, 81.30,360.00
2012,02,05,00, 1440,26.00,164.63, 75.05,344.63
2012,02,06,00, 1440, 0.24,117.98, 85.78,359.69
2012,02,07,00, 1010, 0.33,  3.35,135.42,360.00
2012,02,08,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,09,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,10,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,11,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,12,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,13,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,14,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2012,02,15,00,  980, 3.30,171.52, 72.15,359.30
2012,02,16,00, 1438, 0.26, 78.88,109.20,360.00
2012,02,17,00, 1440,23.52,174.53, 62.51,349.18
2012,02,18,00, 1440, 0.54,276.63, 91.54,360.00
2012,02,19,00, 1440, 1.97,182.26, 64.59,355.34
2012,02,20,00, 1440, 0.02,  4.21,144.01,360.00
2012,02,21,00, 1440, 5.17,233.47, 43.56,335.00
2012,02,22,00, 1436, 0.23,292.63, 62.48,360.00
2012,02,23,00, 1440,11.55,159.24, 66.85,344.09
2012,02,24,00, 1434, 1.98,168.46, 62.51,360.00
2012,02,25,00, 1440, 1.03,316.71, 44.86,359.90
2012,02,26,00, 1440, 0.34, 64.26,102.76,360.00
2012,02,27,00, 1440, 0.07,123.37, 96.28,359.95
2012,02,28,00, 1424, 0.03,115.07,108.69,360.00
2012,02,29,00, 1440, 1.37,104.71, 92.29,360.00
