Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2014,10,01,00, 1440, 0.85,156.51, 61.42,355.42
2014,10,02,00, 1440, 0.31, 38.79,108.98,359.55
2014,10,03,00, 1440, 2.37,345.11,111.01,358.41
2014,10,04,00, 1440, 1.30,355.94,111.17,360.00
2014,10,05,00, 1440,13.60,289.28, 41.96,351.19
2014,10,06,00, 1440,56.45,211.93, 43.92,345.29
2014,10,07,00, 1440,128.00,219.96, 48.38,335.62
2014,10,08,00, 1440, 0.91,250.15, 72.77,360.00
2014,10,09,00, 1440, 7.35,158.13, 92.27,357.82
2014,10,10,00, 1440,39.00,159.69, 29.82,353.92
2014,10,11,00, 1440, 5.33,160.88, 48.20,359.09
2014,10,12,00, 1440,27.12,132.02, 31.22,281.76
2014,10,13,00, 1440, 0.22,159.75, 49.34,356.86
2014,10,14,00, 1440, 1.36,144.33, 49.18,270.00
2014,10,15,00, 1440, 2.41,100.24,101.70,360.00
2014,10,16,00, 1440, 0.20,147.53, 70.05,360.00
2014,10,17,00, 1440, 0.45,166.85, 45.21,360.00
2014,10,18,00, 1440,17.00,161.59, 30.75,339.41
2014,10,19,00, 1433, 0.63,155.88, 27.78,283.27
2014,10,20,00, 1440,42.39,156.15, 27.82,281.94
2014,10,21,00, 1104,37.64,148.91, 29.61,283.72
2014,10,22,00, 1440, 6.33,149.86, 53.55,357.56
2014,10,23,00, 1081,20.00,136.01, 37.52,350.76
2014,10,24,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2014,10,25,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2014,10,26,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2014,10,27,00,  472,41.10,166.88, 26.40,264.59
2014,10,28,00, 1440, 7.94,165.68, 29.24,338.50
2014,10,29,00, 1440,12.82,168.04, 50.97,356.26
2014,10,30,00, 1440, 1.73,150.56, 65.10,360.00
2014,10,31,00, 1440, 2.73,119.33, 70.55,360.00
