Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,10,01,00, 1440,67.11,120.40, 76.15,344.41
2019,10,02,00, 1440, 1.59, 96.08, 85.75,358.41
2019,10,03,00, 1440, 0.27,131.36, 79.06,359.98
2019,10,04,00, 1440, 0.37,116.61, 96.64,359.74
2019,10,05,00, 1440, 4.82,131.77, 68.07,357.18
2019,10,06,00, 1440,23.87,143.66, 85.48,321.85
2019,10,07,00, 1440, 0.28,250.38, 90.80,360.00
2019,10,08,00, 1440, 0.64,290.40, 87.64,359.67
2019,10,09,00, 1440, 0.89,115.48, 82.29,359.99
2019,10,10,00, 1440,74.00,122.82, 83.93,357.14
2019,10,11,00, 1440, 6.07, 90.60, 91.12,360.00
2019,10,12,00, 1440,16.74,164.25, 70.17,350.73
2019,10,13,00, 1440,30.71,121.02, 73.67,360.00
2019,10,14,00, 1440, 0.24,106.40, 84.39,360.00
2019,10,15,00, 1440, 7.60,140.32, 41.16,359.51
2019,10,16,00, 1440, 5.00,135.61, 28.11,355.69
2019,10,17,00, 1439, 4.50,156.94, 39.17,338.76
2019,10,18,00, 1440, 1.79,127.86, 48.05,356.42
2019,10,19,00, 1440, 0.07,281.43,106.34,360.00
2019,10,20,00, 1440,28.34,143.59, 54.89,354.29
2019,10,21,00, 1440, 5.00,162.11, 83.18,357.49
2019,10,22,00, 1440, 0.58,174.70, 69.66,358.67
2019,10,23,00, 1440, 5.00, 94.61, 93.26,358.20
2019,10,24,00, 1440, 0.32, 89.26,103.58,360.00
2019,10,25,00, 1440, 9.93,261.53, 85.37,355.00
2019,10,26,00, 1440, 0.13, 88.52,100.46,360.00
2019,10,27,00, 1438, 6.14,101.96, 85.45,360.00
2019,10,28,00, 1440, 0.12,101.89, 83.78,346.46
2019,10,29,00, 1440, 0.02,122.94, 71.07,359.50
2019,10,30,00, 1440,11.21,113.14, 77.48,355.67
2019,10,31,00, 1440,15.29,109.65, 81.73,350.73
