Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2019,05,01,00,  475,92.54,230.90, 34.79,347.05
2019,05,02,00,  642,111.10,227.83, 32.48,302.21
2019,05,03,00,  547,169.95,244.69, 23.33,307.36
2019,05,04,00,  588,188.00,249.99, 26.29,336.53
2019,05,05,00,  587,40.87,245.65, 34.14,307.25
2019,05,06,00,  624, 3.83,252.86, 36.73,336.86
2019,05,07,00,  576, 7.07,250.14, 45.44,348.23
2019,05,08,00,  573,164.05,259.69, 29.66,354.80
2019,05,09,00,  564,171.00,263.51, 38.33,336.09
2019,05,10,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,11,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,12,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,13,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,14,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,15,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,16,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,17,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,18,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,19,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,20,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,21,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,22,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,23,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,24,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,25,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,26,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,27,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,28,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,29,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,30,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2019,05,31,00,    0,  MD  ,  MD  ,  MD  ,  MD  
