Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2015,11,01,00, 1438, 1.04,149.08, 84.32,358.62
2015,11,02,00, 1440, 1.91,128.84, 91.39,360.00
2015,11,03,00, 1440, 5.00,146.86, 70.12,358.63
2015,11,04,00, 1440, 1.67, 13.42,123.01,355.00
2015,11,05,00, 1440, 3.43, 38.73,110.28,357.89
2015,11,06,00, 1437, 0.28,159.67, 77.46,360.00
2015,11,07,00, 1440, 2.37,190.56, 47.62,355.27
2015,11,08,00, 1440, 1.43, 24.09, 35.76,360.00
2015,11,09,00, 1440, 2.95,148.46, 96.24,360.00
2015,11,10,00, 1440, 5.58,137.90, 66.91,360.00
2015,11,11,00, 1440, 0.56,237.01, 82.98,359.71
2015,11,12,00,  586,49.87,152.71, 27.40,277.03
2015,11,13,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,14,00,  430,35.50, 36.00,  0.03, 36.00
2015,11,15,00, 1440, 0.63, 23.03,120.68,359.76
2015,11,16,00, 1440,15.46,152.28, 38.74,306.52
2015,11,17,00,  266,77.11,178.77, 44.91,353.36
2015,11,18,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,19,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,20,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,21,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,22,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,23,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,24,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,11,25,00,  464, 8.78,120.93, 60.15,331.10
2015,11,26,00, 1440, 5.06,110.73, 79.43,356.73
2015,11,27,00, 1440,30.87,117.11, 73.36,351.79
2015,11,28,00, 1440, 3.81,100.60, 93.28,360.00
2015,11,29,00, 1440, 2.48,107.59, 86.21,358.86
2015,11,30,00, 1438, 0.96,120.26, 77.61,360.00
