Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2015,06,01,00, 1440,52.18,181.61, 38.61,318.89
2015,06,02,00, 1440,112.41,207.80, 30.77,301.79
2015,06,03,00, 1440,80.86,211.23, 42.65,291.21
2015,06,04,00, 1440,98.56,194.67, 59.39,348.22
2015,06,05,00, 1440,95.00,180.71, 54.52,333.01
2015,06,06,00, 1440,32.74,189.21, 67.56,359.18
2015,06,07,00, 1440,19.67,179.79, 67.13,342.48
2015,06,08,00,  844, 1.82,199.60, 65.91,360.00
2015,06,09,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,06,10,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,06,11,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,06,12,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,06,13,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,06,14,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2015,06,15,00,  839, 5.00,218.13, 57.30,357.28
2015,06,16,00, 1440,26.31,194.57, 45.75,327.78
2015,06,17,00, 1440,80.10,201.43, 46.04,349.25
2015,06,18,00, 1440,118.00,184.38, 52.17,319.50
2015,06,19,00, 1440,31.48,232.23, 35.89,342.95
2015,06,20,00, 1440, 2.71,188.25, 59.31,332.57
2015,06,21,00, 1440,17.00,194.89, 61.06,360.00
2015,06,22,00, 1440,17.27,218.75, 54.14,334.07
2015,06,23,00, 1440,34.72,223.28, 69.99,347.39
2015,06,24,00, 1440, 0.21,266.95,106.68,360.00
2015,06,25,00, 1440, 2.76,220.64, 81.87,355.71
2015,06,26,00, 1440, 3.48,198.93, 63.62,359.43
2015,06,27,00, 1440,10.84,239.65, 81.51,352.58
2015,06,28,00, 1440, 0.48,147.30, 96.25,360.00
2015,06,29,00, 1440, 3.05,205.04, 53.98,357.50
2015,06,30,00, 1440, 7.48,240.90, 48.51,319.09
