Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2012,01,01,00, 1440, 0.08, 21.16,126.54,360.00
2012,01,02,00, 1440, 1.52,175.08, 69.41,360.00
2012,01,03,00, 1437,55.35,163.55, 21.68,322.30
2012,01,04,00, 1434,25.52,176.78, 29.11,357.97
2012,01,05,00, 1436, 0.33,221.76, 70.78,359.35
2012,01,06,00, 1437, 1.37,109.76, 76.60,360.00
2012,01,07,00, 1437, 6.77,143.44, 90.67,360.00
2012,01,08,00, 1437, 3.63,157.07, 62.82,357.08
2012,01,09,00, 1437, 1.31,251.32, 75.36,359.59
2012,01,10,00, 1438, 3.36,124.62, 57.45,358.94
2012,01,11,00, 1437, 0.08,145.77, 84.43,360.00
2012,01,12,00, 1439, 3.81,113.87, 84.52,360.00
2012,01,13,00, 1440, 0.82,128.97, 71.53,356.11
2012,01,14,00, 1440, 0.02,193.39, 91.73,359.39
2012,01,15,00, 1440, 0.59, 74.38,114.22,360.00
2012,01,16,00, 1440, 0.03, 85.15,103.82,358.38
2012,01,17,00, 1440, 0.41,305.53,102.47,360.00
2012,01,18,00, 1436, 0.02, 21.01,111.85,360.00
2012,01,19,00, 1440, 0.13, 34.39,121.66,360.00
2012,01,20,00, 1440, 0.25,142.70, 87.92,360.00
2012,01,21,00, 1440, 2.01,235.76, 61.41,359.36
2012,01,22,00, 1436, 0.35,186.36, 69.19,360.00
2012,01,23,00, 1423, 6.85,158.50, 34.10,309.47
2012,01,24,00, 1435, 1.59,183.13, 44.67,356.59
2012,01,25,00, 1434, 0.84,201.27, 71.20,360.00
2012,01,26,00, 1440, 0.22,312.19, 87.80,359.92
2012,01,27,00, 1440,26.06,132.65, 54.86,350.00
2012,01,28,00, 1440, 1.65,134.26, 79.07,357.24
2012,01,29,00, 1440, 5.95,203.97, 45.20,344.49
2012,01,30,00, 1440, 0.56,186.49, 53.68,350.45
2012,01,31,00, 1440,32.00,167.55, 35.69,331.27
