Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2024,10,01,00, 1440, 0.42,135.64, 90.09,360.00
2024,10,02,00, 1440, 0.38,145.39, 76.51,360.00
2024,10,03,00, 1440, 0.29,127.42, 86.58,360.00
2024,10,04,00, 1440, 0.07,154.71, 54.23,360.00
2024,10,05,00, 1407, 5.00,209.04, 98.81,360.00
2024,10,06,00, 1373, 0.16,114.80, 84.52,360.00
2024,10,07,00, 1440, 5.00, 25.40,101.89,360.00
2024,10,08,00, 1440, 0.56,143.85, 59.72,360.00
2024,10,09,00, 1440, 2.13,129.80, 38.11,342.80
2024,10,10,00, 1440, 2.99,121.66, 79.32,360.00
2024,10,11,00, 1440,10.84,143.89, 71.72,360.00
2024,10,12,00, 1440, 0.43,111.65, 94.52,360.00
2024,10,13,00, 1440, 1.35,149.97, 90.30,358.33
2024,10,14,00, 1440,11.54,153.94, 47.86,337.56
2024,10,15,00, 1440, 4.00,125.67, 89.01,360.00
2024,10,16,00, 1440, 0.63,110.33,104.32,360.00
2024,10,17,00, 1440, 0.15, 38.95,114.02,360.00
2024,10,18,00, 1356, 1.46,140.98, 47.69,360.00
2024,10,19,00, 1339, 4.65,171.58, 38.68,310.93
2024,10,20,00, 1440, 0.06,205.12, 89.55,360.00
2024,10,21,00, 1440, 1.87,100.52, 98.58,360.00
2024,10,22,00, 1440, 1.98, 76.01,110.58,360.00
2024,10,23,00, 1440, 1.40,135.03, 73.87,360.00
2024,10,24,00, 1440, 0.70, 93.98, 99.23,360.00
2024,10,25,00, 1440, 0.15, 46.37,122.27,360.00
2024,10,26,00, 1440, 4.08,138.33, 41.86,356.07
2024,10,27,00, 1440, 1.29,150.64, 44.69,360.00
2024,10,28,00, 1440, 0.98,136.17, 98.25,360.00
2024,10,29,00, 1440, 0.98,119.71, 68.85,360.00
2024,10,30,00, 1440, 1.30,139.80, 50.33,359.64
2024,10,31,00, 1378, 1.62,157.30, 73.97,360.00
