Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2017,07,01,00, 1439,28.10,226.98, 31.86,314.85
2017,07,02,00,  643,156.46,233.38, 20.95,330.39
2017,07,03,00,  508,142.00,236.08, 24.95,298.39
2017,07,04,00,  490,128.28,216.87, 26.06,291.79
2017,07,05,00,  480,115.25,220.39, 33.52,291.72
2017,07,06,00,  669,121.00,228.48, 27.28,317.93
2017,07,07,00,  482,35.79,239.92, 30.57,340.81
2017,07,08,00,  637,154.99,235.67, 26.27,297.17
2017,07,09,00,  627,136.00,222.38, 31.91,307.83
2017,07,10,00,  706,97.00,232.39, 30.10,332.73
2017,07,11,00,  639,173.00,239.47, 27.83,312.71
2017,07,12,00,  632,215.80,258.05, 23.13,310.47
2017,07,13,00,  613,18.73,255.47, 23.66,343.43
2017,07,14,00,  476,145.20,238.96, 28.17,301.69
2017,07,15,00,  606,30.21,257.48, 32.77,355.00
2017,07,16,00,  475, 3.84,236.60, 33.57,355.68
2017,07,17,00,  486,141.77,225.17, 35.26,316.80
2017,07,18,00,  477,169.00,238.67, 22.25,312.63
2017,07,19,00,  500,160.05,268.29, 15.13,294.89
2017,07,20,00,  601,135.84,250.14, 24.05,301.88
2017,07,21,00,  363,51.64,239.52, 38.19,298.00
2017,07,22,00,  617,129.59,233.72, 37.36,298.71
2017,07,23,00,  574,180.00,244.37, 29.76,349.91
2017,07,24,00,  470,147.42,228.82, 39.60,327.26
2017,07,25,00,  453,142.57,218.30, 29.62,289.33
2017,07,26,00,  635,170.27,237.21, 17.62,292.05
2017,07,27,00,  562,185.50,243.94, 19.20,307.83
2017,07,28,00,  635,27.78,250.21, 53.95,353.89
2017,07,29,00,  542,199.70,271.66, 13.84,330.83
2017,07,30,00,  460,71.52,234.83, 30.55,332.79
2017,07,31,00,  457,134.59,220.44, 35.21,290.17
