Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2024,05,01,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2024,05,02,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2024,05,03,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2024,05,04,00,    0,  MD  ,  MD  ,  MD  ,  MD  
2024,05,05,00,  552,74.16,173.41, 43.17,273.24
2024,05,06,00, 1440, 2.76,229.52, 74.16,360.00
2024,05,07,00, 1440, 3.09,212.06, 71.67,355.27
2024,05,08,00, 1440, 3.39,161.08, 75.37,357.08
2024,05,09,00, 1394, 0.82,170.97, 81.56,355.00
2024,05,10,00, 1440, 0.95,159.28, 85.74,356.50
2024,05,11,00, 1440,10.34,156.86, 74.95,357.51
2024,05,12,00, 1440,15.32,174.27, 62.50,358.29
2024,05,13,00, 1440, 6.35,208.87, 56.70,352.31
2024,05,14,00, 1424, 0.33,172.36, 77.05,357.73
2024,05,15,00, 1440,67.77,194.96, 51.81,332.01
2024,05,16,00, 1440, 0.61,237.39, 42.82,357.08
2024,05,17,00, 1399, 4.10,230.27, 70.67,359.63
2024,05,18,00, 1400,10.34,240.46, 54.81,359.46
2024,05,19,00, 1440, 0.38,139.96, 90.74,360.00
2024,05,20,00, 1440, 1.29,200.07, 77.54,357.71
2024,05,21,00, 1440, 4.53,207.85, 57.69,357.51
2024,05,22,00, 1440, 2.55,241.60, 78.80,358.48
2024,05,23,00, 1425,75.85,174.74, 50.31,288.82
2024,05,24,00, 1440, 0.07,154.16,102.88,360.00
2024,05,25,00, 1440,67.57,180.61, 56.10,352.82
2024,05,26,00, 1440,11.20,136.29, 22.54,234.36
2024,05,27,00, 1440,38.97,198.63, 62.26,334.69
2024,05,28,00, 1407,89.72,186.89, 45.41,324.36
2024,05,29,00, 1424, 6.30,203.26, 65.08,359.52
2024,05,30,00, 1440, 7.33,187.27, 72.36,354.54
2024,05,31,00, 1440, 7.58,191.35, 74.90,360.00
