Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2016,02,01,00, 1440,12.00, 75.08, 94.05,360.00
2016,02,02,00, 1440, 0.23,158.11, 73.49,360.00
2016,02,03,00, 1440, 0.45,182.65, 85.61,360.00
2016,02,04,00, 1440, 1.42,149.83, 59.06,359.63
2016,02,05,00, 1435, 0.83,181.81, 55.12,356.61
2016,02,06,00, 1440, 6.00, 89.00, 99.75,358.85
2016,02,07,00, 1440, 0.05, 28.63,131.41,360.00
2016,02,08,00, 1440, 0.52,204.87,107.20,360.00
2016,02,09,00, 1440, 4.77,158.26, 72.54,359.58
2016,02,10,00, 1440,20.79,151.72, 55.37,357.55
2016,02,11,00, 1290, 0.35, 13.30,132.38,360.00
2016,02,12,00, 1438,15.00,165.28, 39.22,333.94
2016,02,13,00, 1440,21.36,141.31, 89.70,360.00
2016,02,14,00, 1440,46.88,253.99, 70.54,341.00
2016,02,15,00, 1440, 2.16,293.40,116.80,360.00
2016,02,16,00, 1440, 8.62,158.67, 80.73,355.06
2016,02,17,00, 1440, 0.25, 38.39,118.89,360.00
2016,02,18,00, 1440, 0.84,150.63, 41.99,355.00
2016,02,19,00, 1440, 2.04,171.64, 74.01,360.00
2016,02,20,00, 1440, 3.10,136.34, 59.42,343.57
2016,02,21,00, 1440, 0.21, 74.41,108.88,360.00
2016,02,22,00, 1440, 0.29,257.49,103.30,355.00
2016,02,23,00, 1440, 0.81, 11.94,129.27,360.00
2016,02,24,00, 1440, 3.22, 75.76,103.65,357.33
2016,02,25,00, 1440, 1.66,245.36,100.37,355.00
2016,02,26,00, 1440, 5.64,121.05,105.50,355.20
2016,02,27,00, 1440,17.55,171.09, 86.88,355.00
2016,02,28,00, 1440, 0.18,189.03, 73.25,359.41
2016,02,29,00, 1440, 0.05,174.35, 73.30,360.00
