Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2013,05,01,00, 1440, 2.35,186.96, 77.52,359.17
2013,05,02,00, 1440, 9.82,184.17, 73.77,350.41
2013,05,03,00, 1440, 3.98,203.82, 73.68,333.83
2013,05,04,00, 1440, 0.59,192.61, 84.38,357.97
2013,05,05,00, 1440, 1.82,  1.60,108.42,360.00
2013,05,06,00, 1440, 7.91,185.87, 74.44,360.00
2013,05,07,00, 1440, 2.52,201.42, 60.46,360.00
2013,05,08,00, 1440,50.55,215.05, 43.94,335.02
2013,05,09,00, 1440, 0.23,222.70, 59.02,330.17
2013,05,10,00, 1440,26.07,213.83, 70.08,357.87
2013,05,11,00, 1440, 5.00,124.83, 88.19,358.97
2013,05,12,00, 1440, 1.37,164.74, 30.89,309.65
2013,05,13,00, 1440,62.99,176.52, 48.16,347.93
2013,05,14,00, 1440,42.37,167.38, 38.53,300.38
2013,05,15,00, 1440, 0.44,344.50,118.90,359.94
2013,05,16,00, 1440, 1.72,237.36, 53.62,360.00
2013,05,17,00, 1440, 2.21,177.07, 49.07,354.99
2013,05,18,00, 1440, 1.13,160.93, 85.59,359.14
2013,05,19,00, 1440,15.21,197.08, 56.37,357.65
2013,05,20,00, 1440,89.00,199.49, 53.24,330.72
2013,05,21,00, 1440,88.00,198.21, 57.18,357.26
2013,05,22,00, 1440,97.50,192.50, 66.62,346.91
2013,05,23,00, 1440, 2.42,223.29, 84.23,349.00
2013,05,24,00, 1440, 0.58,208.12, 84.54,358.43
2013,05,25,00, 1440,56.21,195.04, 63.49,346.77
2013,05,26,00, 1440, 3.39,182.86, 71.34,355.00
2013,05,27,00, 1440, 1.23,178.01, 78.41,360.00
2013,05,28,00, 1440, 9.77,160.71, 32.73,347.00
2013,05,29,00, 1440,10.43,232.90, 94.10,360.00
2013,05,30,00, 1440,21.48,160.94, 41.39,357.60
2013,05,31,00, 1440, 6.88,206.98, 63.54,354.09
