Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2013,10,01,00, 1424, 2.45, 99.01, 77.42,360.00
2013,10,02,00, 1440, 0.91,113.53, 97.61,360.00
2013,10,03,00, 1440,134.15,188.81, 57.73,347.50
2013,10,04,00, 1440, 2.15,122.29, 89.06,360.00
2013,10,05,00, 1435, 5.00, 30.53, 79.79,357.17
2013,10,06,00, 1440, 5.80,153.72, 30.04,335.63
2013,10,07,00, 1440, 0.87,246.93, 52.52,357.71
2013,10,08,00, 1440, 0.10,328.49,109.37,360.00
2013,10,09,00, 1440, 0.32,142.35, 69.46,355.00
2013,10,10,00, 1440, 0.25,111.69, 88.82,360.00
2013,10,11,00, 1440, 6.92,136.81, 37.62,355.00
2013,10,12,00, 1440, 3.38,138.95, 88.10,356.88
2013,10,13,00, 1440,40.21,165.45, 75.24,356.07
2013,10,14,00, 1440, 7.38,140.66, 86.32,360.00
2013,10,15,00, 1440, 4.00,153.48, 80.45,360.00
2013,10,16,00, 1440,16.00,177.46, 76.03,341.74
2013,10,17,00, 1440, 0.24,170.46, 66.22,355.00
2013,10,18,00, 1440,51.00,162.28, 71.13,349.39
2013,10,19,00, 1440, 9.09,247.52, 90.73,345.00
2013,10,20,00, 1440, 4.46,243.61, 95.11,360.00
2013,10,21,00, 1440, 0.41,355.32,104.54,360.00
2013,10,22,00, 1440, 3.43,339.61, 28.21,360.00
2013,10,23,00, 1440, 5.94,157.29, 83.96,359.09
2013,10,24,00, 1440, 0.60,136.16, 93.61,360.00
2013,10,25,00, 1440, 9.00,156.12, 53.53,355.00
2013,10,26,00, 1440, 1.59,191.34, 70.32,358.14
2013,10,27,00, 1440, 5.36,146.58, 66.07,357.62
2013,10,28,00, 1440, 0.34, 67.94,105.81,360.00
2013,10,29,00, 1440, 5.00,142.02, 74.24,355.00
2013,10,30,00, 1440, 5.00,139.96, 53.35,358.71
2013,10,31,00, 1440, 0.95,178.51, 88.50,359.55
