Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2011,08,01,00, 1440,138.00,225.45, 36.51,356.07
2011,08,02,00, 1440,74.09,196.35, 54.80,331.00
2011,08,03,00, 1440, 1.82,223.62, 47.68,343.97
2011,08,04,00, 1440,21.57,228.61, 38.19,359.86
2011,08,05,00, 1440,150.00,229.14, 35.44,322.03
2011,08,06,00, 1440,127.13,249.91, 33.10,348.71
2011,08,07,00, 1440, 3.78,207.54, 54.49,359.50
2011,08,08,00, 1440,17.00,245.24, 40.74,356.12
2011,08,09,00, 1440,110.00,231.65, 34.48,319.37
2011,08,10,00, 1440, 4.75,219.36, 64.44,345.09
2011,08,11,00, 1440, 5.00,234.89, 56.80,354.35
2011,08,12,00, 1440, 8.76,224.39, 39.28,325.83
2011,08,13,00, 1440,106.00,228.85, 43.02,330.32
2011,08,14,00, 1440, 0.48,180.21, 57.10,352.33
2011,08,15,00, 1440, 8.60,191.34, 62.02,347.12
2011,08,16,00, 1440,11.11,193.15, 58.43,357.77
2011,08,17,00, 1440,39.18,192.26, 58.04,325.53
2011,08,18,00, 1440,74.00,191.47, 48.00,307.91
2011,08,19,00, 1440,16.40,224.50, 75.11,357.46
2011,08,20,00, 1440,118.00,226.97, 63.69,345.48
2011,08,21,00, 1440,35.77,189.25, 54.28,355.93
2011,08,22,00, 1440,10.70,170.42, 56.93,355.00
2011,08,23,00, 1440, 5.00,246.29, 76.32,360.00
2011,08,24,00, 1440,13.91,244.42, 68.43,358.60
2011,08,25,00, 1440,93.91,238.58, 45.72,328.68
2011,08,26,00, 1440,127.62,215.44, 56.54,360.00
2011,08,27,00, 1440,16.80,184.00, 59.37,337.86
2011,08,28,00, 1440,18.16,236.11, 61.08,357.94
2011,08,29,00, 1440, 5.00,240.98, 56.26,350.85
2011,08,30,00, 1440, 6.93,235.42, 68.77,360.00
2011,08,31,00, 1440, 3.65,227.99, 49.19,358.85
