Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2011,10,01,00, 1437,103.00,182.31, 63.10,345.55
2011,10,02,00, 1438, 3.17,165.17, 80.30,359.47
2011,10,03,00, 1437, 6.73,169.89, 29.24,345.48
2011,10,04,00, 1437, 1.62,164.35, 66.33,360.00
2011,10,05,00, 1437, 9.00,307.56, 92.01,345.00
2011,10,06,00, 1438,75.00,171.69, 61.80,313.95
2011,10,07,00, 1437,47.38,236.72, 52.91,339.00
2011,10,08,00, 1437, 9.54,172.80, 46.16,331.28
2011,10,09,00, 1438, 0.68,166.97, 82.61,355.00
2011,10,10,00, 1438, 3.29,151.40, 72.52,360.00
2011,10,11,00, 1437,40.57,180.82, 41.13,345.43
2011,10,12,00, 1437,10.57,146.09, 74.39,360.00
2011,10,13,00, 1438, 0.45,121.39,102.25,360.00
2011,10,14,00, 1437, 7.38,202.94, 87.27,360.00
2011,10,15,00, 1437, 4.32,161.89, 83.87,359.57
2011,10,16,00, 1437, 5.00,191.26, 61.43,358.69
2011,10,17,00, 1437,80.00,229.49, 83.92,352.01
2011,10,18,00, 1437,49.67,165.01, 59.36,359.33
2011,10,19,00, 1438,77.27,190.43, 56.83,341.00
2011,10,20,00, 1438, 5.00,269.44, 89.50,359.96
2011,10,21,00, 1437, 5.00,170.12, 65.10,280.19
2011,10,22,00, 1437, 1.36,207.06, 93.06,360.00
2011,10,23,00, 1437, 3.87,141.18, 65.74,358.06
2011,10,24,00, 1438,86.00,160.49, 74.58,344.00
2011,10,25,00, 1437, 0.82,164.70, 79.08,352.41
2011,10,26,00, 1437, 0.41,183.83, 75.01,359.35
2011,10,27,00, 1438,114.25,154.94, 75.99,360.00
2011,10,28,00, 1440, 0.11,174.82, 68.01,359.64
2011,10,29,00, 1440,50.99,157.29, 48.03,344.00
2011,10,30,00, 1440, 0.31,256.38, 82.26,360.00
2011,10,31,00, 1440, 0.53,308.92,102.88,359.13
