Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2012,07,01,00, 1440,59.50,243.00, 44.64,336.62
2012,07,02,00, 1440,14.86,135.79, 39.14,346.00
2012,07,03,00, 1440, 5.00,215.40, 56.39,340.92
2012,07,04,00, 1440, 0.05,224.47, 77.20,355.98
2012,07,05,00, 1440, 6.08,202.96, 56.89,353.27
2012,07,06,00, 1440,88.00,206.27, 59.64,343.47
2012,07,07,00, 1440,20.63,175.92, 76.43,340.19
2012,07,08,00, 1440, 9.71,184.43, 48.20,333.48
2012,07,09,00, 1440,86.95,216.89, 52.76,326.00
2012,07,10,00, 1440,13.00,227.96, 52.03,355.00
2012,07,11,00, 1440,63.00,231.60, 58.10,342.00
2012,07,12,00, 1440,16.00,199.03, 86.05,355.00
2012,07,13,00, 1440, 1.05,270.58, 90.70,360.00
2012,07,14,00, 1440, 0.87,233.34, 75.91,356.30
2012,07,15,00, 1440, 9.00,230.87, 62.23,357.50
2012,07,16,00, 1440, 2.73,221.75, 66.88,359.09
2012,07,17,00, 1440, 0.46,240.00, 68.71,359.23
2012,07,18,00, 1440, 4.61,209.63, 55.51,355.00
2012,07,19,00, 1440, 6.82,232.35, 45.20,342.35
2012,07,20,00, 1440, 3.81,178.52, 49.60,327.47
2012,07,21,00, 1440, 3.24,166.79, 75.78,359.58
2012,07,22,00, 1440,94.00,220.25, 39.20,319.72
2012,07,23,00, 1440,103.41,210.00, 34.42,310.00
2012,07,24,00, 1440, 8.44,242.24, 42.97,358.87
2012,07,25,00, 1440, 5.00,244.51, 48.66,357.16
2012,07,26,00, 1440, 3.71,222.06, 46.33,357.01
2012,07,27,00, 1440,98.00,180.34, 41.79,307.18
2012,07,28,00, 1440, 2.38,219.29, 52.30,356.55
2012,07,29,00, 1440, 3.85,195.36, 63.25,334.79
2012,07,30,00, 1440,116.00,204.09, 60.11,339.02
2012,07,31,00, 1440,82.36,178.96, 75.29,358.73
