Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2014,07,01,00, 1440, 1.14,196.17, 79.22,355.00
2014,07,02,00, 1440,46.24,224.22, 37.38,307.58
2014,07,03,00, 1440,10.59,237.53, 57.00,349.33
2014,07,04,00, 1438,61.41,209.82, 63.65,347.75
2014,07,05,00, 1440, 0.72,  7.58,118.88,360.00
2014,07,06,00, 1440,42.00,213.65, 57.95,360.00
2014,07,07,00, 1440, 5.00,247.29, 47.99,358.97
2014,07,08,00, 1436,98.00,186.22, 53.36,342.17
2014,07,09,00, 1440, 0.17,200.08, 78.12,360.00
2014,07,10,00, 1440, 5.00,250.49, 69.21,358.57
2014,07,11,00, 1440, 1.39,241.60, 50.64,359.21
2014,07,12,00, 1440,36.52,227.97, 54.22,353.20
2014,07,13,00, 1440, 2.21,209.67, 49.58,358.02
2014,07,14,00, 1440,22.16,220.83, 47.29,345.45
2014,07,15,00, 1440, 9.88,220.78, 54.67,358.93
2014,07,16,00, 1440, 4.10,264.49, 85.65,355.00
2014,07,17,00, 1440, 2.83,225.72, 61.48,350.11
2014,07,18,00, 1438,57.41,193.99, 54.70,356.63
2014,07,19,00, 1440,63.84,196.99, 39.56,293.83
2014,07,20,00, 1440,74.40,216.86, 29.35,305.00
2014,07,21,00, 1440,98.09,205.37, 50.05,342.41
2014,07,22,00, 1440, 1.49,217.69, 64.69,359.39
2014,07,23,00, 1440,36.00,150.73, 35.34,234.38
2014,07,24,00, 1440,21.23,207.96, 45.43,318.15
2014,07,25,00, 1440, 9.84,238.50, 58.04,356.48
2014,07,26,00, 1440,99.00,201.35, 62.48,358.44
2014,07,27,00, 1440,28.42,177.96, 72.48,348.68
2014,07,28,00, 1440, 2.86,180.07, 55.33,360.00
2014,07,29,00, 1440, 5.00,179.97, 53.17,347.16
2014,07,30,00, 1440,16.17,185.56, 52.66,326.89
2014,07,31,00, 1440,22.33,194.30, 46.44,355.00
