Year,Month,Day,Hour,Count,Minimum,Average,StdDev,Maximum
2024,09,01,00, 1356, 6.30,193.12, 83.70,357.64
2024,09,02,00, 1440, 0.00,238.19, 67.44,360.00
2024,09,03,00, 1440, 0.59,241.12, 89.61,360.00
2024,09,04,00, 1440, 1.02,320.84,127.91,360.00
2024,09,05,00, 1440, 2.12,105.36, 92.96,360.00
2024,09,06,00, 1339, 3.70,159.28, 81.04,360.00
2024,09,07,00, 1440,99.36,148.98, 83.23,360.00
2024,09,08,00, 1440, 0.18,225.32,102.65,360.00
2024,09,09,00, 1440, 0.10,235.34, 54.72,359.43
2024,09,10,00, 1440, 1.50,155.12, 66.73,360.00
2024,09,11,00, 1440, 0.13,291.62,108.16,360.00
2024,09,12,00, 1356,43.00,205.79, 52.02,356.75
2024,09,13,00, 1440,88.57,148.40, 78.28,337.00
2024,09,14,00, 1440,55.79,175.82, 50.05,302.58
2024,09,15,00, 1440, 2.18,144.77, 81.47,360.00
2024,09,16,00, 1440, 1.15,144.25, 82.11,360.00
2024,09,17,00, 1440, 1.20,342.66,115.98,360.00
2024,09,18,00, 1440, 0.95,289.86, 98.26,360.00
2024,09,19,00, 1425, 0.67,188.99, 72.01,360.00
2024,09,20,00, 1408,98.00,169.18, 75.28,347.78
2024,09,21,00, 1440, 5.00,164.74, 72.32,356.48
2024,09,22,00, 1440, 2.59,120.29, 78.28,360.00
2024,09,23,00, 1376, 5.00,342.41,124.78,358.51
2024,09,24,00, 1440, 0.59,162.72, 80.63,355.00
2024,09,25,00, 1425,64.54,193.56, 53.00,343.67
2024,09,26,00, 1331, 2.87,130.11, 33.65,281.16
2024,09,27,00, 1423,74.10,185.26, 56.85,350.00
2024,09,28,00, 1425, 4.41,175.47, 81.46,355.00
2024,09,29,00, 1440, 3.24,205.61, 69.75,357.48
2024,09,30,00, 1440, 1.25, 68.13,105.21,357.71
