Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
48.880000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.17
48.820000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.25
48.880000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,18.09
48.930000,-125.440000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,3.88
48.930000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.02
48.830000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,3.02
48.900000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,0.46
48.910000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,7.78
48.920000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,2,2.56
48.910000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.01
48.870000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.85
48.880000,-125.390000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,3.35
48.940000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,2.25
48.970000,-125.090000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.29
48.870000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.28
48.860000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.43
48.930000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,0.55
48.850000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.93
48.870000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,2.44
48.850000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,1.75
48.920000,-125.020000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.67
48.870000,-125.280000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.14
48.940000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.74
48.890000,-125.290000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.02
48.920000,-125.490000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,4.67
48.900000,-125.190000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.09
